Q9BBS1	ACCD_LOTJA	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)	accD	Lotus japonicus (Lotus corniculatus var. japonicus)	501
P49092	ASNS1_LOTJA	reviewed	Asparagine synthetase [glutamine-hydrolyzing] 1 (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase 1)	AS1	Lotus japonicus (Lotus corniculatus var. japonicus)	586
P49093	ASNS2_LOTJA	reviewed	Asparagine synthetase [glutamine-hydrolyzing] 2 (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase 2)	AS2	Lotus japonicus (Lotus corniculatus var. japonicus)	586
Q9BBS3	ATPA_LOTJA	reviewed	ATP synthase subunit alpha, chloroplastic (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA	Lotus japonicus (Lotus corniculatus var. japonicus)	510
Q9BBU0	ATPB_LOTJA	reviewed	ATP synthase subunit beta, chloroplastic (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpB	Lotus japonicus (Lotus corniculatus var. japonicus)	498
Q9BBS4	ATPF_LOTJA	reviewed	ATP synthase subunit b, chloroplastic (ATP synthase F(0) sector subunit b) (ATPase subunit I)	atpF	Lotus japonicus (Lotus corniculatus var. japonicus)	184
P69194	ATPH_LOTJA	reviewed	ATP synthase subunit c, chloroplastic (ATP synthase F(0) sector subunit c) (ATPase subunit III) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpH	Lotus japonicus (Lotus corniculatus var. japonicus)	81
Q9BBT9	ATPE_LOTJA	reviewed	ATP synthase epsilon chain, chloroplastic (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpE	Lotus japonicus (Lotus corniculatus var. japonicus)	133
Q9BBS5	ATPI_LOTJA	reviewed	ATP synthase subunit a, chloroplastic (ATP synthase F0 sector subunit a) (F-ATPase subunit IV)	atpI	Lotus japonicus (Lotus corniculatus var. japonicus)	247
O22307	C71DB_LOTJA	reviewed	Cytochrome P450 71D11 (EC 1.14.-.-) (Fragment)	CYP71D11	Lotus japonicus (Lotus corniculatus var. japonicus)	490
P0DI56	CASP3_LOTJA	reviewed	Casparian strip membrane protein 3 (LjCASP3)		Lotus japonicus (Lotus corniculatus var. japonicus)	219
P0DI57	CASP5_LOTJA	reviewed	Casparian strip membrane protein 5 (LjCASP5)		Lotus japonicus (Lotus corniculatus var. japonicus)	197
Q6J541	C79D3_LOTJA	reviewed	Isoleucine N-monooxygenase 1 (EC 1.14.13.117) (Cytochrome P450 79D3)	CYP79D3	Lotus japonicus (Lotus corniculatus var. japonicus)	535
Q5H8A6	CASTO_LOTJA	reviewed	Ion channel CASTOR	CASTOR	Lotus japonicus (Lotus corniculatus var. japonicus)	853
Q6J540	C79D4_LOTJA	reviewed	Isoleucine N-monooxygenase 2 (EC 1.14.13.117) (Cytochrome P450 79D4)	CYP79D4	Lotus japonicus (Lotus corniculatus var. japonicus)	536
P0DI55	CASP4_LOTJA	reviewed	Casparian strip membrane protein 4 (LjCASP4)		Lotus japonicus (Lotus corniculatus var. japonicus)	197
A0AAR7	CCAMK_LOTJA	reviewed	Calcium and calcium/calmodulin-dependent serine/threonine-protein kinase (LjCCaMK) (EC 2.7.11.17)	CCAMK	Lotus japonicus (Lotus corniculatus var. japonicus)	518
P58155	CEMA_LOTJA	reviewed	Chloroplast envelope membrane protein	cemA ycf10	Lotus japonicus (Lotus corniculatus var. japonicus)	229
Q9BBP4	CCSA_LOTJA	reviewed	Cytochrome c biogenesis protein CcsA	ccsA	Lotus japonicus (Lotus corniculatus var. japonicus)	323
P0DKC2	CASP1_LOTJA	reviewed	Casparian strip membrane protein 1 (LjCASP1)		Lotus japonicus (Lotus corniculatus var. japonicus)	186
Q8H0F6	CFI3_LOTJA	reviewed	Chalcone--flavonone isomerase 3 (Chalcone isomerase 3) (EC 5.5.1.6)	CHI3	Lotus japonicus (Lotus corniculatus var. japonicus)	225
Q8H0G2	CFI1_LOTJA	reviewed	Chalcone--flavonone isomerase 1 (Chalcone isomerase 1) (EC 5.5.1.6)	CHI1	Lotus japonicus (Lotus corniculatus var. japonicus)	226
Q8H0G1	CFI2_LOTJA	reviewed	Chalcone--flavonone isomerase 2 (Chalcone isomerase 2) (EC 5.5.1.6)	CHI2	Lotus japonicus (Lotus corniculatus var. japonicus)	221
Q9BBQ9	CLPP_LOTJA	reviewed	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP	Lotus japonicus (Lotus corniculatus var. japonicus)	196
Q9BBR8	CYF_LOTJA	reviewed	Cytochrome f	petA	Lotus japonicus (Lotus corniculatus var. japonicus)	320
P0DI58	CSPL2_LOTJA	reviewed	CASP-like protein 2 (LjCASP2)		Lotus japonicus (Lotus corniculatus var. japonicus)	187
Q9BBQ6	CYB6_LOTJA	reviewed	Cytochrome b6	petB	Lotus japonicus (Lotus corniculatus var. japonicus)	215
Q6DW74	DGDG1_LOTJA	reviewed	Digalactosyldiacylglycerol synthase 1, chloroplastic (EC 2.4.1.241)	DGD1	Lotus japonicus (Lotus corniculatus var. japonicus)	786
Q6DW73	DGDG2_LOTJA	reviewed	Digalactosyldiacylglycerol synthase 2, chloroplastic (EC 2.4.1.241)	DGD2	Lotus japonicus (Lotus corniculatus var. japonicus)	463
B5WWZ9	FAO2_LOTJA	reviewed	Long-chain-alcohol oxidase FAO2 (EC 1.1.3.20) (Long-chain fatty alcohol oxidase 2)	FAO2	Lotus japonicus (Lotus corniculatus var. japonicus)	750
B5WWZ8	FAO1_LOTJA	reviewed	Long-chain-alcohol oxidase FAO1 (EC 1.1.3.20) (Long-chain fatty alcohol oxidase 1)	FAO1	Lotus japonicus (Lotus corniculatus var. japonicus)	749
Q42899	GLNA1_LOTJA	reviewed	Glutamine synthetase cytosolic isozyme (EC 6.3.1.2) (GS1) (Glutamate--ammonia ligase)	GLN1	Lotus japonicus (Lotus corniculatus var. japonicus)	356
P49082	GPA1_LOTJA	reviewed	Guanine nucleotide-binding protein alpha-1 subunit (GP-alpha-1)	GPA1	Lotus japonicus (Lotus corniculatus var. japonicus)	384
Q84KK4	I4OMT_LOTJA	reviewed	Isoflavone 4'-O-methyltransferase (LjHI4'OMT) (EC 2.1.1.46) (2,7,4'-trihydroxyisoflavanone 4'-O-methyltransferase) (EC 2.1.1.212) (S-adenosyl-L-methionine: 2,7,4'-trihydroxyisoflavanone 4'-O-methyltransferase)	HI4'OMT	Lotus japonicus (Lotus corniculatus var. japonicus)	365
C6L7U1	LIN1_LOTJA	reviewed	Putative E3 ubiquitin-protein ligase LIN-1 (EC 6.3.2.-) (Protein cerberus)	CERBERUS	Lotus japonicus (Lotus corniculatus var. japonicus)	1485
Q9FEP8	LGB_LOTJA	reviewed	Leghemoglobin		Lotus japonicus (Lotus corniculatus var. japonicus)	147
D1FP57	LIN2_LOTJA	reviewed	Putative E3 ubiquitin-protein ligase LIN-2 (LjLIN) (EC 6.3.2.-)	LIN	Lotus japonicus (Lotus corniculatus var. japonicus)	1485
Q9BBU2	MATK_LOTJA	reviewed	Maturase K (Intron maturase)	matK	Lotus japonicus (Lotus corniculatus var. japonicus)	508
Q9BBN8	NDHH_LOTJA	reviewed	NAD(P)H-quinone oxidoreductase subunit H, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit H) (NADH-plastoquinone oxidoreductase 49 kDa subunit) (NADH-plastoquinone oxidoreductase subunit H)	ndhH	Lotus japonicus (Lotus corniculatus var. japonicus)	393
Q9BBP0	NDHI_LOTJA	reviewed	NAD(P)H-quinone oxidoreductase subunit I, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit I) (NDH subunit I) (NADH-plastoquinone oxidoreductase subunit I)	ndhI	Lotus japonicus (Lotus corniculatus var. japonicus)	161
Q9BBT7	NDHK_LOTJA	reviewed	NAD(P)H-quinone oxidoreductase subunit K, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit K) (NADH-plastoquinone oxidoreductase subunit K)	ndhK psbG	Lotus japonicus (Lotus corniculatus var. japonicus)	230
P39869	NIA_LOTJA	reviewed	Nitrate reductase [NADH] (NR) (EC 1.7.1.1)	NIA	Lotus japonicus (Lotus corniculatus var. japonicus)	900
O22426	NO40_LOTJA	reviewed	Early nodulin-40	ENOD40	Lotus japonicus (Lotus corniculatus var. japonicus)	12
Q9BBT6	NDHJ_LOTJA	reviewed	NAD(P)H-quinone oxidoreductase subunit J, chloroplastic (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit J) (NADH-plastoquinone oxidoreductase subunit J)	ndhJ	Lotus japonicus (Lotus corniculatus var. japonicus)	158
