"Q9BBS1"	"ACCD"	"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic "
"P49092"	"AS1"	"Asparagine synthetase [glutamine-hydrolyzing] 1 "
"P49093"	"AS2"	"Asparagine synthetase [glutamine-hydrolyzing] 2 "
"Q9BBS3"	"ATPA"	"ATP synthase subunit alpha, chloroplastic "
"Q9BBU0"	"ATPB"	"ATP synthase subunit beta, chloroplastic "
"Q9BBS4"	"ATPF"	"ATP synthase subunit b, chloroplastic "
"P69194"	"ATPH"	"ATP synthase subunit c, chloroplastic "
"Q9BBT9"	"ATPE"	"ATP synthase epsilon chain, chloroplastic "
"Q9BBS5"	"ATPI"	"ATP synthase subunit a, chloroplastic "
"O22307"	"CYP71D11"	"Cytochrome P450 71D11 "
"P0DI56"	"CASP3"	"Casparian strip membrane protein 3 "
"P0DI57"	"CASP5"	"Casparian strip membrane protein 5 "
"Q6J541"	"CYP79D3"	"Isoleucine N-monooxygenase 1 "
"Q5H8A6"	"CASTOR"	"Ion channel CASTOR"
"Q6J540"	"CYP79D4"	"Isoleucine N-monooxygenase 2 "
"P0DI55"	"CASP4"	"Casparian strip membrane protein 4 "
"A0AAR7"	"CCAMK"	"Calcium and calcium/calmodulin-dependent serine/threonine-protein kinase "
"P58155"	"CEMA_YCF10"	"Chloroplast envelope membrane protein"
"Q9BBP4"	"CCSA"	"Cytochrome c biogenesis protein CcsA"
"P0DKC2"	"CASP1"	"Casparian strip membrane protein 1 "
"Q8H0F6"	"CHI3"	"Chalcone--flavonone isomerase 3 "
"Q8H0G2"	"CHI1"	"Chalcone--flavonone isomerase 1 "
"Q8H0G1"	"CHI2"	"Chalcone--flavonone isomerase 2 "
"Q9BBQ9"	"CLPP"	"ATP-dependent Clp protease proteolytic subunit "
"Q9BBR8"	"PETA"	"Cytochrome f"
"P0DI58"	"CSPL2"	"CASP-like protein 2 "
"Q9BBQ6"	"PETB"	"Cytochrome b6"
"Q6DW74"	"DGD1"	"Digalactosyldiacylglycerol synthase 1, chloroplastic "
"Q6DW73"	"DGD2"	"Digalactosyldiacylglycerol synthase 2, chloroplastic "
"B5WWZ9"	"FAO2"	"Long-chain-alcohol oxidase FAO2 "
"B5WWZ8"	"FAO1"	"Long-chain-alcohol oxidase FAO1 "
"Q42899"	"GLN1"	"Glutamine synthetase cytosolic isozyme "
"P49082"	"GPA1"	"Guanine nucleotide-binding protein alpha-1 subunit "
"Q84KK4"	"HI4'OMT"	"Isoflavone 4'-O-methyltransferase "
"C6L7U1"	"CERBERUS"	"Putative E3 ubiquitin-protein ligase LIN-1 "
"Q9FEP8"	"LGB"	"Leghemoglobin"
"D1FP57"	"LIN"	"Putative E3 ubiquitin-protein ligase LIN-2 "
"Q9BBU2"	"MATK"	"Maturase K "
"Q9BBN8"	"NDHH"	"NAD"
"Q9BBP0"	"NDHI"	"NAD"
"Q9BBT7"	"NDHK_PSBG"	"NAD"
"P39869"	"NIA"	"Nitrate reductase [NADH] "
"O22426"	"ENOD40"	"Early nodulin-40"
"Q9BBT6"	"NDHJ"	"NAD"
"P0CC89"	"NDHB2"	"NAD"
"Q9BBP3"	"NDHD"	"NAD"
"Q9BBP1"	"NDHG"	"NAD"
"P0CC88"	"NDHB1"	"NAD"
"Q9BBP6"	"NDHF"	"NAD"
"Q9BBN9"	"NDHA"	"NAD"
"Q9BBT8"	"NDHC"	"NAD"
"Q9BBP2"	"NDHE"	"NAD"
"O24035"	"PANC"	"Pantoate--beta-alanine ligase "
"Q2QKL5"	"PCS3"	"Glutathione gamma-glutamylcysteinyltransferase 3 "
"Q2TSC7"	"PCS1"	"Glutathione gamma-glutamylcysteinyltransferase 1 "
"P69456"	"PETG"	"Cytochrome b6-f complex subunit 5 "
"Q2TE74"	"PCS2"	"Glutathione gamma-glutamylcysteinyltransferase 2 "
"Q9BBR4"	"PETL"	"Cytochrome b6-f complex subunit 6 "
"Q9BBQ5"	"PETD"	"Cytochrome b6-f complex subunit 4 "
"P61040"	"PETN_YCF6"	"Cytochrome b6-f complex subunit 8 "
"Q5H8A5"	"POLLUX"	"Ion channel POLLUX"
"Q9BBR3"	"PSAJ"	"Photosystem I reaction center subunit IX "
"P58385"	"PSAB"	"Photosystem I P700 chlorophyll a apoprotein A2 "
"Q9BBU3"	"PSBA"	"Photosystem II protein D1 "
"Q9BBQ8"	"PSBB"	"Photosystem II CP47 reaction center protein "
"Q9BBT1"	"PSBC"	"Photosystem II CP43 reaction center protein "
"Q9BBQ7"	"PSBH"	"Photosystem II reaction center protein H "
"P69670"	"PSBT_YCF8"	"Photosystem II reaction center protein T "
"P58310"	"PSAA"	"Photosystem I P700 chlorophyll a apoprotein A1 "
"P62092"	"PSAC"	"Photosystem I iron-sulfur center "
"Q9BBT0"	"PSBD"	"Photosystem II D2 protein "
"P62105"	"PSBI"	"Photosystem II reaction center protein I "
"P69528"	"PSBM"	"Photosystem II reaction center protein M "
"Q9BBT2"	"PSBZ_YCF9"	"Photosystem II reaction center protein Z "
"Q9BBS0"	"PSAI"	"Photosystem I reaction center subunit VIII "
"Q9BBR5"	"PSBE"	"Cytochrome b559 subunit alpha "
"Q9BBR7"	"PSBJ"	"Photosystem II reaction center protein J "
"Q9BBS2"	"PSBK"	"Photosystem II reaction center protein K "
